"hourstamp","week","day_of_week","metric","value"
"2017-02-01 10:00:00.000","5","3","gtpv1sum","74095"
"2017-02-01 10:00:00.000","5","3","gtpv2sum","30"
"2017-02-01 10:00:00.000","5","3","imsisum","21251"
"2017-02-01 10:00:00.000","5","3","mapsum","94927"
"2017-02-01 10:00:00.000","5","3","usagesum","777584854"
"2017-02-01 11:00:00.000","5","3","countCL","13516"
"2017-02-01 11:00:00.000","5","3","countSAI","58289"
"2017-02-01 11:00:00.000","5","3","countUGL","6264"
"2017-02-01 11:00:00.000","5","3","countUL","11485"
"2017-02-01 11:00:00.000","5","3","gtpv1sum","79677"
"2017-02-01 11:00:00.000","5","3","gtpv2sum","30"
"2017-02-01 11:00:00.000","5","3","imsisum","19610"
"2017-02-01 11:00:00.000","5","3","mapsum","92987"
"2017-02-01 11:00:00.000","5","3","usagesum","755477965"
"2017-02-01 12:00:00.000","5","3","countCL","13660"
"2017-02-01 12:00:00.000","5","3","countSAI","59714"
"2017-02-01 12:00:00.000","5","3","countUGL","7328"
"2017-02-01 12:00:00.000","5","3","countUL","11435"
"2017-02-01 12:00:00.000","5","3","gtpv1sum","81929"
"2017-02-01 12:00:00.000","5","3","gtpv2sum","35"
"2017-02-01 12:00:00.000","5","3","imsisum","21513"
"2017-02-01 12:00:00.000","5","3","mapsum","95379"
"2017-02-01 12:00:00.000","5","3","usagesum","801381270"
"2017-02-01 13:00:00.000","5","3","countCL","13602"
"2017-02-01 13:00:00.000","5","3","countSAI","56792"
"2017-02-01 13:00:00.000","5","3","countUGL","6150"
"2017-02-01 13:00:00.000","5","3","countUL","11238"
"2017-02-01 13:00:00.000","5","3","gtpv1sum","82538"
"2017-02-01 13:00:00.000","5","3","gtpv2sum","29"
"2017-02-01 13:00:00.000","5","3","imsisum","19480"
"2017-02-01 13:00:00.000","5","3","mapsum","90890"
"2017-02-01 13:00:00.000","5","3","usagesum","850474051"
"2017-02-01 14:00:00.000","5","3","countCL","15023"
"2017-02-01 14:00:00.000","5","3","countSAI","60187"
"2017-02-01 14:00:00.000","5","3","countUGL","6568"
"2017-02-01 14:00:00.000","5","3","countUL","11937"
"2017-02-01 14:00:00.000","5","3","gtpv1sum","83185"
"2017-02-01 14:00:00.000","5","3","gtpv2sum","88"
"2017-02-01 14:00:00.000","5","3","imsisum","19927"
"2017-02-01 14:00:00.000","5","3","mapsum","96492"
"2017-02-01 14:00:00.000","5","3","usagesum","792641139"
"2017-02-01 15:00:00.000","5","3","countCL","14868"
"2017-02-01 15:00:00.000","5","3","countSAI","59625"
"2017-02-01 15:00:00.000","5","3","countUGL","6392"
"2017-02-01 15:00:00.000","5","3","countUL","11862"
"2017-02-01 15:00:00.000","5","3","gtpv1sum","85037"
"2017-02-01 15:00:00.000","5","3","gtpv2sum","46"
"2017-02-01 15:00:00.000","5","3","imsisum","19998"
"2017-02-01 15:00:00.000","5","3","mapsum","95106"
"2017-02-01 15:00:00.000","5","3","usagesum","734111691"
"2017-02-01 16:00:00.000","5","3","countCL","13882"
"2017-02-01 16:00:00.000","5","3","countSAI","56799"
"2017-02-01 16:00:00.000","5","3","countUGL","5997"
"2017-02-01 16:00:00.000","5","3","countUL","11368"
"2017-02-01 16:00:00.000","5","3","gtpv1sum","90637"
"2017-02-01 16:00:00.000","5","3","gtpv2sum","55"
"2017-02-01 16:00:00.000","5","3","imsisum","19970"
"2017-02-01 16:00:00.000","5","3","mapsum","91431"
"2017-02-01 16:00:00.000","5","3","usagesum","618877052"
"2017-02-01 17:00:00.000","5","3","countCL","11678"
"2017-02-01 17:00:00.000","5","3","countSAI","54769"
"2017-02-01 17:00:00.000","5","3","countUGL","5078"
"2017-02-01 17:00:00.000","5","3","countUL","9964"
"2017-02-01 17:00:00.000","5","3","gtpv1sum","97299"
"2017-02-01 17:00:00.000","5","3","gtpv2sum","89"
"2017-02-01 17:00:00.000","5","3","imsisum","19053"
"2017-02-01 17:00:00.000","5","3","mapsum","84347"
"2017-02-01 17:00:00.000","5","3","usagesum","621486345"
"2017-02-01 18:00:00.000","5","3","countCL","10257"
"2017-02-01 18:00:00.000","5","3","countSAI","49563"
"2017-02-01 18:00:00.000","5","3","countUGL","4587"
"2017-02-01 18:00:00.000","5","3","countUL","8760"
"2017-02-01 18:00:00.000","5","3","gtpv1sum","76300"
"2017-02-01 18:00:00.000","5","3","gtpv2sum","40"
"2017-02-01 18:00:00.000","5","3","imsisum","16672"
"2017-02-01 18:00:00.000","5","3","mapsum","75591"
"2017-02-01 18:00:00.000","5","3","usagesum","487062752"
"2017-02-01 19:00:00.000","5","3","countCL","8762"
"2017-02-01 19:00:00.000","5","3","countSAI","46872"
"2017-02-01 19:00:00.000","5","3","countUGL","3849"
"2017-02-01 19:00:00.000","5","3","countUL","7999"
"2017-02-01 19:00:00.000","5","3","gtpv1sum","72090"
"2017-02-01 19:00:00.000","5","3","gtpv2sum","15"
"2017-02-01 19:00:00.000","5","3","imsisum","15945"
"2017-02-01 19:00:00.000","5","3","mapsum","69782"
"2017-02-01 19:00:00.000","5","3","usagesum","472780007"
"2017-02-01 20:00:00.000","5","3","countCL","7876"
"2017-02-01 20:00:00.000","5","3","countSAI","45184"
"2017-02-01 20:00:00.000","5","3","countUGL","3490"
"2017-02-01 20:00:00.000","5","3","countUL","7352"
"2017-02-01 20:00:00.000","5","3","gtpv1sum","67957"
"2017-02-01 20:00:00.000","5","3","gtpv2sum","0"
"2017-02-01 20:00:00.000","5","3","imsisum","15484"
"2017-02-01 20:00:00.000","5","3","mapsum","66278"
"2017-02-01 20:00:00.000","5","3","usagesum","424595990"
"2017-02-01 21:00:00.000","5","3","countCL","6853"
"2017-02-01 21:00:00.000","5","3","countSAI","41728"
"2017-02-01 21:00:00.000","5","3","countUGL","2962"
"2017-02-01 21:00:00.000","5","3","countUL","6631"
"2017-02-01 21:00:00.000","5","3","gtpv1sum","66606"
"2017-02-01 21:00:00.000","5","3","gtpv2sum","0"
"2017-02-01 21:00:00.000","5","3","imsisum","14585"
"2017-02-01 21:00:00.000","5","3","mapsum","61035"
"2017-02-01 21:00:00.000","5","3","usagesum","471346886"
"2017-02-01 22:00:00.000","5","3","countCL","6729"
"2017-02-01 22:00:00.000","5","3","countSAI","41309"
"2017-02-01 22:00:00.000","5","3","countUGL","2885"
"2017-02-01 22:00:00.000","5","3","countUL","6446"
"2017-02-01 22:00:00.000","5","3","gtpv1sum","65068"
"2017-02-01 22:00:00.000","5","3","gtpv2sum","0"
"2017-02-01 22:00:00.000","5","3","imsisum","15091"
"2017-02-01 22:00:00.000","5","3","mapsum","61192"
"2017-02-01 22:00:00.000","5","3","usagesum","379504316"
"2017-02-01 23:00:00.000","5","3","countCL","6558"
"2017-02-01 23:00:00.000","5","3","countSAI","43453"
"2017-02-01 23:00:00.000","5","3","countUGL","3508"
"2017-02-01 23:00:00.000","5","3","countUL","6399"
"2017-02-01 23:00:00.000","5","3","gtpv1sum","65643"
"2017-02-01 23:00:00.000","5","3","gtpv2sum","0"
"2017-02-01 23:00:00.000","5","3","imsisum","16067"
"2017-02-01 23:00:00.000","5","3","mapsum","63540"
"2017-02-01 23:00:00.000","5","3","usagesum","393001507"
"2017-02-02 00:00:00.000","5","4","countCL","6658"
"2017-02-02 00:00:00.000","5","4","countSAI","45018"
"2017-02-02 00:00:00.000","5","4","countUGL","3129"
"2017-02-02 00:00:00.000","5","4","countUL","6476"
"2017-02-02 00:00:00.000","5","4","gtpv1sum","65450"
"2017-02-02 00:00:00.000","5","4","gtpv2sum","0"
"2017-02-02 00:00:00.000","5","4","imsisum","15849"
"2017-02-02 00:00:00.000","5","4","mapsum","64823"
"2017-02-02 00:00:00.000","5","4","usagesum","371940005"
"2017-02-02 01:00:00.000","5","4","countCL","6523"
"2017-02-02 01:00:00.000","5","4","countSAI","44211"
"2017-02-02 01:00:00.000","5","4","countUGL","3060"
"2017-02-02 01:00:00.000","5","4","countUL","6626"
"2017-02-02 01:00:00.000","5","4","gtpv1sum","66720"
"2017-02-02 01:00:00.000","5","4","gtpv2sum","0"
"2017-02-02 01:00:00.000","5","4","imsisum","15964"
"2017-02-02 01:00:00.000","5","4","mapsum","64338"
"2017-02-02 01:00:00.000","5","4","usagesum","414636207"
"2017-02-02 02:00:00.000","5","4","countCL","6714"
"2017-02-02 02:00:00.000","5","4","countSAI","43341"
"2017-02-02 02:00:00.000","5","4","countUGL","3562"
"2017-02-02 02:00:00.000","5","4","countUL","6138"
"2017-02-02 02:00:00.000","5","4","gtpv1sum","64506"
"2017-02-02 02:00:00.000","5","4","gtpv2sum","0"
"2017-02-02 02:00:00.000","5","4","imsisum","15451"
"2017-02-02 02:00:00.000","5","4","mapsum","64004"
"2017-02-02 02:00:00.000","5","4","usagesum","339199904"
"2017-02-02 03:00:00.000","5","4","countCL","6568"
"2017-02-02 03:00:00.000","5","4","countSAI","41760"
"2017-02-02 03:00:00.000","5","4","countUGL","3323"
"2017-02-02 03:00:00.000","5","4","countUL","6312"
"2017-02-02 03:00:00.000","5","4","gtpv1sum","59417"
"2017-02-02 03:00:00.000","5","4","gtpv2sum","0"
"2017-02-02 03:00:00.000","5","4","imsisum","14710"
"2017-02-02 03:00:00.000","5","4","mapsum","62359"
"2017-02-02 03:00:00.000","5","4","usagesum","368147656"
"2017-02-02 04:00:00.000","5","4","countCL","7720"
"2017-02-02 04:00:00.000","5","4","countSAI","42444"
"2017-02-02 04:00:00.000","5","4","countUGL","3756"
"2017-02-02 04:00:00.000","5","4","countUL","7252"
"2017-02-02 04:00:00.000","5","4","gtpv1sum","58373"
"2017-02-02 04:00:00.000","5","4","gtpv2sum","48"
"2017-02-02 04:00:00.000","5","4","imsisum","14749"
"2017-02-02 04:00:00.000","5","4","mapsum","65261"
"2017-02-02 04:00:00.000","5","4","usagesum","446573993"
"2017-02-02 05:00:00.000","5","4","countCL","11414"
"2017-02-02 05:00:00.000","5","4","countSAI","52260"
"2017-02-02 05:00:00.000","5","4","countUGL","5809"
"2017-02-02 05:00:00.000","5","4","countUL","9818"
"2017-02-02 05:00:00.000","5","4","gtpv1sum","69239"
"2017-02-02 05:00:00.000","5","4","gtpv2sum","67"
"2017-02-02 05:00:00.000","5","4","imsisum","18847"
"2017-02-02 05:00:00.000","5","4","mapsum","83388"
"2017-02-02 05:00:00.000","5","4","usagesum","633729294"
"2017-02-02 06:00:00.000","5","4","countCL","13414"
"2017-02-02 06:00:00.000","5","4","countSAI","54585"
"2017-02-02 06:00:00.000","5","4","countUGL","6094"
"2017-02-02 06:00:00.000","5","4","countUL","11135"
"2017-02-02 06:00:00.000","5","4","gtpv1sum","74606"
"2017-02-02 06:00:00.000","5","4","gtpv2sum","57"
"2017-02-02 06:00:00.000","5","4","imsisum","18498"
"2017-02-02 06:00:00.000","5","4","mapsum","89069"
"2017-02-02 06:00:00.000","5","4","usagesum","691241450"
"2017-02-02 07:00:00.000","5","4","countCL","14051"
"2017-02-02 07:00:00.000","5","4","countSAI","56766"
"2017-02-02 07:00:00.000","5","4","countUGL","6409"
"2017-02-02 07:00:00.000","5","4","countUL","11628"
"2017-02-02 07:00:00.000","5","4","gtpv1sum","80282"
"2017-02-02 07:00:00.000","5","4","gtpv2sum","61"
"2017-02-02 07:00:00.000","5","4","imsisum","18738"
"2017-02-02 07:00:00.000","5","4","mapsum","92304"
"2017-02-02 07:00:00.000","5","4","usagesum","681421997"
"2017-02-02 08:00:00.000","5","4","countCL","14081"
"2017-02-02 08:00:00.000","5","4","countSAI","57724"
"2017-02-02 08:00:00.000","5","4","countUGL","6722"
"2017-02-02 08:00:00.000","5","4","countUL","11740"
"2017-02-02 08:00:00.000","5","4","gtpv1sum","87998"
"2017-02-02 08:00:00.000","5","4","gtpv2sum","102"
"2017-02-02 08:00:00.000","5","4","imsisum","19987"
"2017-02-02 08:00:00.000","5","4","mapsum","94297"
"2017-02-02 08:00:00.000","5","4","usagesum","749905999"
"2017-02-02 09:00:00.000","5","4","countCL","13969"
"2017-02-02 09:00:00.000","5","4","countSAI","56132"
"2017-02-02 09:00:00.000","5","4","countUGL","6708"
"2017-02-02 09:00:00.000","5","4","countUL","11594"
"2017-02-02 09:00:00.000","5","4","gtpv1sum","74799"
"2017-02-02 09:00:00.000","5","4","gtpv2sum","118"
"2017-02-02 09:00:00.000","5","4","imsisum","18904"
"2017-02-02 09:00:00.000","5","4","mapsum","91825"
"2017-02-02 09:00:00.000","5","4","usagesum","719172348"
"2017-02-02 10:00:00.000","5","4","countCL","13853"
"2017-02-02 10:00:00.000","5","4","countSAI","59925"
"2017-02-02 10:00:00.000","5","4","countUGL","7421"
"2017-02-02 10:00:00.000","5","4","countUL","11738"
"2017-02-02 10:00:00.000","5","4","gtpv1sum","78220"
"2017-02-02 10:00:00.000","5","4","gtpv2sum","43"
"2017-02-02 10:00:00.000","5","4","imsisum","20797"
"2017-02-02 10:00:00.000","5","4","mapsum","96332"
"2017-02-02 10:00:00.000","5","4","usagesum","716916556"
"2017-02-02 11:00:00.000","5","4","countCL","13875"
"2017-02-02 11:00:00.000","5","4","countSAI","58852"
"2017-02-02 11:00:00.000","5","4","countUGL","6384"
"2017-02-02 11:00:00.000","5","4","countUL","11428"
"2017-02-02 11:00:00.000","5","4","gtpv1sum","73422"
"2017-02-02 11:00:00.000","5","4","gtpv2sum","112"
"2017-02-02 11:00:00.000","5","4","imsisum","19386"
"2017-02-02 11:00:00.000","5","4","mapsum","93732"
"2017-02-02 11:00:00.000","5","4","usagesum","673989603"
"2017-02-02 12:00:00.000","5","4","countCL","14310"
"2017-02-02 12:00:00.000","5","4","countSAI","61781"
"2017-02-02 12:00:00.000","5","4","countUGL","7843"
"2017-02-02 12:00:00.000","5","4","countUL","11657"
"2017-02-02 12:00:00.000","5","4","gtpv1sum","80889"
"2017-02-02 12:00:00.000","5","4","gtpv2sum","72"
"2017-02-02 12:00:00.000","5","4","imsisum","21647"
"2017-02-02 12:00:00.000","5","4","mapsum","98857"
"2017-02-02 12:00:00.000","5","4","usagesum","842456815"
"2017-02-02 13:00:00.000","5","4","countCL","14569"
"2017-02-02 13:00:00.000","5","4","countSAI","61248"
"2017-02-02 13:00:00.000","5","4","countUGL","6727"
"2017-02-02 13:00:00.000","5","4","countUL","11701"
"2017-02-02 13:00:00.000","5","4","gtpv1sum","83258"
"2017-02-02 13:00:00.000","5","4","gtpv2sum","38"
"2017-02-02 13:00:00.000","5","4","imsisum","19694"
"2017-02-02 13:00:00.000","5","4","mapsum","97203"
"2017-02-02 13:00:00.000","5","4","usagesum","971870063"
"2017-02-02 14:00:00.000","5","4","countCL","14717"
"2017-02-02 14:00:00.000","5","4","countSAI","60107"
"2017-02-02 14:00:00.000","5","4","countUGL","6794"
"2017-02-02 14:00:00.000","5","4","countUL","12132"
"2017-02-02 14:00:00.000","5","4","gtpv1sum","79203"
"2017-02-02 14:00:00.000","5","4","gtpv2sum","15"
